image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
332,14,14,14,1.0,1.0,1.0,1.0,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,22,0.8462,0.8462,0.8462,0.7333
334,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
335,18,18,16,0.8889,0.8889,0.8889,0.8,16,16,10,0.625,0.625,0.625,0.4545,34,34,26,0.7647,0.7647,0.7647,0.619
341,17,17,11,0.6471,0.6471,0.6471,0.4783,16,16,10,0.625,0.625,0.625,0.4545,33,33,21,0.6364,0.6364,0.6364,0.4667
345,18,17,11,0.6471,0.6111,0.6286,0.4583,17,16,10,0.625,0.5882,0.6061,0.4348,35,33,21,0.6364,0.6,0.6176,0.4468
347,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
351,14,14,14,1.0,1.0,1.0,1.0,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,22,0.8462,0.8462,0.8462,0.7333
356,20,20,17,0.85,0.85,0.85,0.7391,18,18,11,0.6111,0.6111,0.6111,0.44,38,38,28,0.7368,0.7368,0.7368,0.5833
358,14,14,13,0.9286,0.9286,0.9286,0.8667,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,21,0.8077,0.8077,0.8077,0.6774
361,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
380,17,17,11,0.6471,0.6471,0.6471,0.4783,15,15,10,0.6667,0.6667,0.6667,0.5,32,32,21,0.6562,0.6562,0.6562,0.4884
394,20,20,17,0.85,0.85,0.85,0.7391,16,16,9,0.5625,0.5625,0.5625,0.3913,36,36,26,0.7222,0.7222,0.7222,0.5652
401,20,20,11,0.55,0.55,0.55,0.3793,14,14,4,0.2857,0.2857,0.2857,0.1667,34,34,15,0.4412,0.4412,0.4412,0.283
411,17,17,17,1.0,1.0,1.0,1.0,16,16,10,0.625,0.625,0.625,0.4545,33,33,27,0.8182,0.8182,0.8182,0.6923
412,17,17,17,1.0,1.0,1.0,1.0,16,16,10,0.625,0.625,0.625,0.4545,33,33,27,0.8182,0.8182,0.8182,0.6923
